"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Waking up with heart breaking news. #EgyptAttack",FALSE,0,NA,2017-11-24 22:25:59,FALSE,NA,"934269407945039872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FaraRzz07",0,FALSE,FALSE,NA,NA
"RT @airnewsalerts: .@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,0,NA,2017-11-24 22:25:53,FALSE,NA,"934269385161822208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","agrasen1",11,TRUE,FALSE,NA,NA
"RT @airnewsalerts: .@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,0,NA,2017-11-24 22:25:44,FALSE,NA,"934269344665575424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imsharadtiwari",11,TRUE,FALSE,NA,NA
"RT @airnewsalerts: .@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,0,NA,2017-11-24 22:25:36,FALSE,NA,"934269310393925632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mithu796311",11,TRUE,FALSE,NA,NA
".@UN Security Council condemns the ""heinous and cowardly terrorist attack"" in Egypt. #EgyptAttack #UNSC",FALSE,15,NA,2017-11-24 22:25:13,FALSE,NA,"934269216689045504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","airnewsalerts",11,FALSE,FALSE,NA,NA
"So, in short Sunni Islamic Extremist Groups are so intolerant towards other religious practices, that they kill-Chr… https://t.co/cBCzTl9I99",FALSE,4,"vineetavarshney",2017-11-24 22:25:06,TRUE,"934266771741196288","934269187878412288","57923639","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vineetavarshney",0,FALSE,FALSE,NA,NA
"<U+0916><U+093C><U+0941><U+0926><U+093E> <U+0938><U+0947> <U+0926><U+0941><U+0906> <U+092E><U+093E><U+0902><U+0917><U+0928><U+0947> <U+0917><U+090F> <U+0925><U+0947>,
<U+0928> <U+091C><U+093E><U+0928><U+0947> ;
<U+0915><U+093F><U+0938> <U+0916><U+093C><U+0941><U+0926><U+093E> <U+0915><U+0947> <U+0928><U+093E><U+092E> <U+092A><U+0947> <U+0939><U+092E><U+0947> <U+0939><U+0940> <U+0927><U+0941><U+0906><U+0902> <U+0915><U+0930> <U+0926><U+093F><U+092F><U+093E><U+0964>

#Egypt #EgyptAttack #condolences #barbaric #BlackFriday",FALSE,0,NA,2017-11-24 22:24:27,FALSE,NA,"934269024262868992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Word_is_sword",0,FALSE,FALSE,NA,NA
"200 lives is a catastrophe . Open your eyes UN . How many more lives need to be sacrificed for you people to take a… https://t.co/ibJcUcWQg9",FALSE,0,NA,2017-11-24 22:24:23,TRUE,NA,"934269005891637248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irajvirsingh",0,FALSE,FALSE,NA,NA
"Can we all pledge to accept the term jihad as an abuse and eliminate it from #Islamic scriptures, it is the base of… https://t.co/gx8LaIX2gF",FALSE,2,NA,2017-11-24 22:24:13,TRUE,NA,"934268964129071104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","NotAnyKapoor",2,FALSE,FALSE,NA,NA
"Thank you, @JustinTrudeau, gracious elected leader of Canada, to not use these tragedies to further your own agenda… https://t.co/ULW7M0974c",FALSE,1,NA,2017-11-24 22:23:53,TRUE,NA,"934268880381296640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meggyface626",0,FALSE,FALSE,NA,NA
"Muslims are not terrorist.  #EgyptAttack   Stay safe brothers &amp; sisters. https://t.co/OaPJipYdYG",FALSE,0,NA,2017-11-24 22:23:00,FALSE,NA,"934268656049053696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Fodillj",0,FALSE,FALSE,NA,NA
